# KIC   dateobs      eclipse?    filter    filename[-15:]
#
4569590 2456902.62018 Pri V 140902.022.fits
4569590 2456902.6214 Pri R 140902.023.fits
4569590 2456902.62248 Pri I 140902.024.fits
4569590 2456902.62362 Pri B 140902.025.fits
4569590 2456902.62562 Pri V 140902.026.fits
4569590 2456902.62695 Pri R 140902.027.fits
4569590 2456902.62798 Pri I 140902.028.fits
4569590 2456902.62915 Pri B 140902.029.fits
4569590 2456902.63123 Pri V 140902.030.fits
4569590 2456902.63254 Pri R 140902.031.fits
4569590 2456902.6336 Pri I 140902.032.fits
4569590 2456902.63487 Pri B 140902.033.fits
4569590 2456902.6368 Pri V 140902.034.fits
4569590 2456902.63808 Pri R 140902.035.fits
4569590 2456902.63901 Pri I 140902.036.fits
4569590 2456902.64855 Pri B 140902.051.fits
4569590 2456902.65055 Pri V 140902.052.fits
4569590 2456902.65186 Pri R 140902.053.fits
4569590 2456902.65282 Pri I 140902.054.fits
4569590 2456902.654 Pri B 140902.055.fits
4569590 2456902.65598 Pri V 140902.056.fits
4569590 2456902.65732 Pri R 140902.057.fits
4569590 2456902.65834 Pri I 140902.058.fits
4569590 2456902.6595 Pri B 140902.059.fits
4569590 2456902.66154 Pri V 140902.060.fits
4569590 2456902.66282 Pri R 140902.061.fits
4569590 2456902.73482 Pri B 140902.123.fits
4569590 2456902.73679 Pri V 140902.124.fits
4569590 2456902.738 Pri R 140902.125.fits
4569590 2456902.73884 Pri I 140902.126.fits
4569590 2456902.73995 Pri B 140902.127.fits
4569590 2456902.74184 Pri V 140902.128.fits
4569590 2456902.74315 Pri R 140902.129.fits
4569590 2456902.74403 Pri I 140902.130.fits
4569590 2456902.74507 Pri B 140902.131.fits
4569590 2456902.74697 Pri V 140902.132.fits
4569590 2456902.74822 Pri R 140902.133.fits
4569590 2456902.74909 Pri I 140902.134.fits
4569590 2456902.7503 Pri B 140902.135.fits
4569590 2456902.75222 Pri V 140902.136.fits
4569590 2456902.7535 Pri R 140902.137.fits
4569590 2456902.75435 Pri I 140902.138.fits
4569590 2456902.75544 Pri B 140902.139.fits
4569590 2456902.75733 Pri V 140902.140.fits
4569590 2456902.75861 Pri R 140902.141.fits
4569590 2456902.75947 Pri I 140902.142.fits
4569590 2456902.82908 Pri B 140902.214.fits
4569590 2456902.83115 Pri V 140902.215.fits
4569590 2456902.83247 Pri R 140902.216.fits
4569590 2456902.83336 Pri I 140902.217.fits
4569590 2456902.8344 Pri B 140902.218.fits
4569590 2456902.83628 Pri V 140902.219.fits
4569590 2456902.83757 Pri R 140902.220.fits
4569590 2456902.83851 Pri I 140902.221.fits
